E1 | C: 0.25 | Scores: [456, 1328, 1084, 488, 552, 652, 484, 464, 488, 1028, 572, 652, 520, 712, 676, 280, 636, 708, 668, 384]
E2 | C: 0.5 | Scores: [772, 300, 584, 968, 528, 880, 492, 1108, 260, 820, 1028, 636, 588, 884, 516, 396, 960, 952, 428, 468]
E3 | C: 0.75 | Scores: [916, 608, 612, 888, 336, 420, 608, 600, 568, 1356, 1120, 708, 588, 316, 1148, 640, 304, 496, 548, 500]
E4 | C: 1.0 | Scores: [936, 596, 260, 632, 276, 620, 420, 664, 624, 480, 1228, 564, 1012, 1328, 952, 256, 1264, 592, 684, 400]
E5 | C: 1.25 | Scores: [872, 596, 628, 288, 628, 1028, 876, 404, 580, 1076, 632, 1112, 496, 588, 800, 536, 656, 744, 1272, 696]
E6 | C: 1.5 | Scores: [464, 492, 1280, 640, 392, 676, 632, 528, 788, 820, 144, 580, 584, 500, 628, 576, 344, 452, 528, 124]
E7 | C: 1.75 | Scores: [548, 428, 468, 596, 1064, 500, 620, 380, 684, 324, 372, 500, 392, 1076, 280, 676, 780, 408, 476, 716]
E8 | C: 2.0 | Scores: [564, 256, 988, 344, 516, 536, 436, 600, 1252, 1060, 412, 1092, 592, 488, 644, 288, 964, 476, 904, 488]
E9 | C: 2.25 | Scores: [456, 1144, 620, 512, 228, 400, 808, 568, 484, 588, 516, 1088, 856, 440, 1088, 560, 732, 516, 504, 992]
E10 | C: 2.5 | Scores: [592, 548, 864, 628, 276, 256, 344, 456, 708, 444, 380, 316, 532, 528, 660, 1100, 580, 648, 608, 560]
E11 | C: 2.75 | Scores: [1048, 388, 396, 1104, 468, 468, 1016, 648, 580, 612, 912, 304, 568, 856, 776, 208, 388, 576, 1000, 448]
E12 | C: 3.0 | Scores: [992, 464, 512, 552, 456, 676, 704, 888, 1028, 472, 276, 596, 724, 632, 1248, 296, 556, 208, 504, 592]
E13 | C: 3.25 | Scores: [292, 604, 912, 392, 416, 776, 304, 948, 544, 516, 308, 380, 572, 472, 304, 268, 700, 276, 604, 872]
E14 | C: 3.5 | Scores: [564, 1108, 624, 940, 488, 480, 404, 556, 656, 508, 528, 216, 552, 392, 292, 1020, 556, 992, 552, 580]
E15 | C: 3.75 | Scores: [1152, 432, 508, 212, 572, 264, 732, 688, 244, 360, 772, 580, 552, 396, 636, 396, 500, 448, 556, 484]
E16 | C: 4.0 | Scores: [640, 436, 1156, 556, 520, 492, 572, 252, 536, 504, 292, 416, 716, 340, 1060, 512, 352, 1148, 404, 440]

E1 | C: 0.25 | Highest Tiles: [64, 128, 128, 64, 64, 64, 64, 64, 32, 128, 64, 64, 64, 64, 64, 32, 64, 64, 64, 32]
E2 | C: 0.5 | Highest Tiles: [64, 32, 64, 128, 64, 128, 32, 128, 32, 64, 128, 64, 64, 64, 64, 64, 128, 128, 64, 64]
E3 | C: 0.75 | Highest Tiles: [128, 64, 64, 64, 32, 64, 64, 64, 64, 128, 128, 64, 64, 32, 128, 64, 32, 64, 64, 32]
E4 | C: 1.0 | Highest Tiles: [128, 64, 32, 64, 32, 64, 64, 64, 64, 32, 128, 64, 128, 128, 128, 32, 128, 64, 64, 32]
